MD17_molecules,SchNet,DimeNet,PhysNet,GemNet(Q),GemNet(T),PaiNN(F),PaiNN(F+E),ENINet,SpookyNet,NequIP(l=0),NequIP(l=1),NequIP(l=2),NequIP(l=3),MACE,NewtonNet,Allegro,SO3krates,FCHL19,GAP(SOAP),sGDML,ACE
Aspirin,0.37,0.204,0.23,x,x,0.167,0.159,0.148,0.151,0.581,0.088,0.055,0.053,0.051,0.168,0.053,0.139,0.143,0.408,0.166,0.141
Azobenzene,x,x,x,x,x,x,x,x,x,0.468,0.025,0.018,0.016,0.028,0.142,0.028,x,0.065,0.196,0.099,0.083
Benzene,0.08,0.078,x,x,x,x,x,0.074,x,0.074,0.002,0.001,0.001,0.009,x,0.007,x,0.008,0.017,0.001,0.001
Ethanol,0.08,0.064,0.059,x,x,0.064,0.063,0.043,0.052,0.046,0.023,0.012,0.009,0.009,0.078,0.009,0.052,0.021,0.081,0.055,0.028
Malonaldehyde,0.13,0.104,0.094,x,x,0.1,0.091,0.071,0.079,0.101,0.037,0.021,0.018,0.018,0.096,0.014,0.077,0.035,0.111,0.071,0.039
Naphthalene,0.16,0.122,0.142,x,x,0.116,0.117,0.077,0.116,0.339,0.009,0.007,0.005,0.012,0.118,0.012,0.115,0.028,0.088,0.018,0.021
Paracetamol,x,x,x,x,x,x,x,x,x,0.404,0.048,0.032,0.032,0.03,0.135,0.035,x,0.067,0.196,0.115,0.092
Salicylic_Acid,0.2,0.134,0.126,x,x,0.116,0.114,0.092,0.114,0.263,0.023,0.018,0.016,0.021,0.115,0.021,0.106,0.042,0.129,0.048,0.042
Toluene,0.12,0.102,0.1,x,x,0.095,0.097,0.078,0.094,0.224,0.012,0.007,0.007,0.012,0.094,0.009,0.095,0.039,0.092,0.023,0.025
Uracil,0.14,0.115,0.108,x,x,0.106,0.104,0.093,0.105,0.231,0.014,0.009,0.009,0.012,0.107,0.014,0.103,0.014,0.069,0.032,0.025
